#time,accel_x,accel_y,accel_z
10503.518640,-6217.729913,1628.453072,-76915.987999
10503.521218,-6365.771101,1628.453072,-75996.673402
10503.523797,-5625.565159,1628.453072,-75537.016103
10503.526375,-6069.688724,592.164754,-75996.673402
10503.528954,2516.700203,8734.430116,-75383.797003
10503.531532,14211.954086,-1332.370696,-73238.729609
10503.534111,4589.276840,-9474.636058,-74311.263306
10503.536689,-5625.565159,7698.141797,-76149.892501
10503.539268,-4441.235652,1628.453072,-76762.768900
10503.541846,-4885.359217,-18061.024985,-76762.768900
10503.544425,-2368.659014,-9622.677246,-77375.645298
10503.547003,-3997.112087,-3552.988522,-77988.521696
10503.549581,3701.029710,7994.224174,-76456.330700
10503.552160,23982.672521,-12435.459826,-75996.673402
10503.554738,23686.590144,-9178.553681,-70940.443115
10503.557317,-20281.642811,7698.141797,-76456.330700
10503.559895,-29608.237680,13619.789333,-76915.987999
10503.562474,-18653.189738,444.123565,-76762.768900
10503.565052,8882.471304,1184.329507,-76303.111601
10503.567631,888.247130,11695.253884,-74004.825107
10503.570209,-13915.871710,2368.659014,-75230.577904
10503.572788,-19097.313304,11991.336260,-77222.426198
10503.575366,-10362.883188,4145.153275,-75996.673402
10503.577944,-19097.313304,-2960.823768,-76303.111601
10503.580523,-16284.530724,16580.613101,-75230.577904
10503.583101,5625.565159,-2960.823768,-76762.768900
10503.585680,17616.901420,-9918.759623,-76609.549800
10503.588258,-4885.359217,5625.565159,-77222.426198
10503.590837,-22058.137072,10362.883188,-75537.016103
10503.593415,-2516.700203,8734.430116,-73851.606007
10503.595994,5181.441594,-2516.700203,-74924.139704
10503.598572,2664.741391,7994.224174,-76762.768900
10503.601151,-22206.178260,2812.782580,-76915.987999
10503.603729,-17912.983796,444.123565,-75996.673402
10503.606307,1924.535449,7994.224174,-75077.358804
10503.608886,-4737.318029,4293.194464,-77375.645298
10503.611464,-8586.388927,1776.494261,-78754.617194
10503.614043,-18209.066173,-7550.100608,-75843.454302
10503.616621,-34049.473332,16284.530724,-74004.825107
10503.619199,-13175.665768,12435.459826,-75996.673402
10503.621776,6069.688724,-4737.318029,-77528.864398
10503.624353,5477.523971,-444.123565,-76149.892501
10503.626931,-12287.418637,7846.182985,-76609.549800
10503.629508,-9326.594869,2960.823768,-75690.235202
10503.632085,-16432.571912,-3108.864956,-76149.892501
10503.634663,-12879.583391,8734.430116,-74770.920605
10503.637240,-1036.288319,5329.482782,-75077.358804
10503.639817,8734.430116,6217.729913,-75843.454302
10503.642395,13175.665768,-12139.377449,-77222.426198
10503.644972,-16136.489536,11251.130318,-75843.454302
10503.647549,-28423.908173,24574.837274,-75690.235202
10503.650126,-13767.830521,-19245.354492,-76149.892501
10503.652704,-9918.759623,-6217.729913,-76609.549800
10503.655281,-7846.182985,-4589.276840,-77375.645298
10503.657858,-5477.523971,11103.089130,-75230.577904
10503.660436,21762.054695,4885.359217,-77528.864398
10503.663013,19097.313304,-12287.418637,-76303.111601
10503.665590,-11695.253884,9918.759623,-75230.577904
10503.668168,-18653.189738,19689.478057,-74617.701505
10503.670745,-5033.400406,-16728.654289,-76149.892501
10503.673322,-740.205942,-18653.189738,-77069.207099
10503.675900,-5625.565159,5329.482782,-77222.426198
10503.678477,-5329.482782,8142.265362,-76303.111601
10503.681054,5625.565159,-2960.823768,-75537.016103
10503.683632,1480.411884,296.082377,-76456.330700
10503.686209,-7846.182985,0.000000,-77222.426198
10503.688786,-15988.448347,10066.800811,-75690.235202
10503.691364,-25907.207970,-7254.018232,-78601.398095
10503.693941,-25167.002028,-14211.954086,-82278.656485
10503.696518,-22206.178260,5329.482782,-79827.150892
10503.699096,-22946.384202,5773.606348,-75690.235202
10503.701673,-15248.242405,-5329.482782,-74464.482406
10503.704250,-11547.212695,2368.659014,-75690.235202
10503.706828,5033.400406,4293.194464,-76762.768900
10503.709405,-3701.029710,-1480.411884,-77375.645298
10503.711982,-6809.894666,-3552.988522,-77528.864398
10503.714560,-1332.370696,-2220.617826,-75996.673402
10503.717137,6513.812290,-6069.688724,-74924.139704
10503.719714,4145.153275,5477.523971,-74770.920605
10503.722291,296.082377,3701.029710,-76609.549800
10503.724868,-8586.388927,7402.059420,-77222.426198
10503.727444,5773.606348,7105.977043,-77222.426198
10503.730021,-3256.906145,-10214.842000,-76149.892501
10503.732598,-13471.748144,-2516.700203,-75230.577904
10503.735174,-13915.871710,12287.418637,-75383.797003
10503.737751,15840.407159,4145.153275,-76762.768900
10503.740328,5477.523971,-10955.047942,-77835.302597
10503.742904,-18949.272115,3552.988522,-77835.302597
10503.745481,-18061.024985,-2072.576638,-76303.111601
10503.748058,-6957.935855,-5033.400406,-74004.825107
10503.750634,1036.288319,11991.336260,-75383.797003
10503.753211,-19541.436869,6809.894666,-76303.111601
10503.755788,-20281.642811,17468.860231,-76456.330700
10503.758364,-1036.288319,-1332.370696,-77222.426198
10503.760941,-296.082377,-22798.343014,-76456.330700
10503.763518,-26647.413912,6365.771101,-75996.673402
10503.766094,-22946.384202,17172.777854,-74924.139704
10503.768671,-15840.407159,14359.995275,-74924.139704
10503.771248,6365.771101,-2072.576638,-75537.016103
10503.773824,1924.535449,6069.688724,-76456.330700
10503.776401,-14211.954086,7698.141797,-74311.263306
10503.778978,-19837.519246,5329.482782,-74464.482406
10503.781554,5329.482782,9918.759623,-75383.797003
10503.784131,10510.924376,-7550.100608,-77069.207099
10503.786708,-7105.977043,-11695.253884,-76609.549800
10503.789284,-3701.029710,18653.189738,-72779.072310
10503.791861,17024.736666,14359.995275,-71400.100414
10503.794438,18505.148550,-8290.306550,-72472.634111
10503.797014,-3256.906145,-4441.235652,-76456.330700
10503.799591,-12879.583391,-5477.523971,-78448.178995
10503.802168,5477.523971,5477.523971,-75690.235202
10503.804744,-8734.430116,2516.700203,-76609.549800
10503.807321,-17320.819043,10510.924376,-75843.454302
10503.809898,-7402.059420,-3256.906145,-75996.673402
10503.812474,-9622.677246,-4293.194464,-75996.673402
10503.815051,-24130.713709,10955.047942,-76456.330700
10503.817628,-23094.425390,19245.354492,-76915.987999
10503.820204,-148.041188,-3404.947333,-75383.797003
10503.822781,-2516.700203,2960.823768,-74924.139704
10503.825357,-11547.212695,-740.205942,-76456.330700
10503.827933,-19393.395680,3108.864956,-75537.016103
10503.830509,-7105.977043,10066.800811,-76456.330700
10503.833085,2812.782580,6661.853478,-76303.111601
10503.835662,8882.471304,-5625.565159,-76303.111601
10503.838238,-9918.759623,-17764.942608,-75996.673402
10503.840814,-32124.937883,17912.983796,-74311.263306
10503.843390,-18505.148550,19689.478057,-75690.235202
10503.845966,-3849.070898,-22650.301825,-78294.959896
10503.848542,-6957.935855,444.123565,-78141.740796
10503.851118,-11399.171507,-3701.029710,-75996.673402
10503.853695,9030.512492,12435.459826,-74158.044206
10503.856271,30940.608376,-444.123565,-77222.426198
10503.858847,11991.336260,-9622.677246,-78141.740796
10503.861423,-21317.931130,15692.365970,-76915.987999
10503.863999,-18949.272115,3552.988522,-76915.987999
10503.866575,-9030.512492,-12435.459826,-74924.139704
10503.869151,-9622.677246,-13915.871710,-75843.454302
10503.871728,-12879.583391,11399.171507,-75537.016103
10503.874304,-1628.453072,-4885.359217,-75996.673402
10503.876880,8142.265362,-1924.535449,-76762.768900
10503.879456,1036.288319,3701.029710,-77528.864398
10503.882032,-13175.665768,888.247130,-76609.549800
10503.884608,-6957.935855,8438.347739,-74004.825107
10503.887184,-8142.265362,6809.894666,-74924.139704
10503.889761,-5033.400406,6365.771101,-79980.369991
10503.892337,-7698.141797,7994.224174,-79673.931792
10503.894913,-14211.954086,592.164754,-76149.892501
10503.897489,1628.453072,3552.988522,-71859.757712
10503.900065,-6513.812290,-7846.182985,-75230.577904
10503.902641,-3404.947333,-5773.606348,-77375.645298
10503.905217,-5477.523971,1036.288319,-79980.369991
10503.907793,-3997.112087,9326.594869,-79061.055394
10503.910370,-592.164754,-3552.988522,-75537.016103
10503.912946,-7254.018232,-4145.153275,-74004.825107
10503.915522,-5921.647536,4293.194464,-75230.577904
10503.918098,-4589.276840,-14359.995275,-77375.645298
10503.920674,-10214.842000,-444.123565,-77988.521696
10503.923250,-5329.482782,3404.947333,-76762.768900
10503.925826,4441.235652,-6365.771101,-74770.920605
10503.928401,-2516.700203,22798.343014,-74004.825107
10503.930977,-4293.194464,15100.201217,-76303.111601
10503.933552,15248.242405,-8882.471304,-78141.740796
10503.936127,14063.912898,-22502.260637,-78141.740796
10503.938702,592.164754,15840.407159,-75996.673402
10503.941277,-15100.201217,-1776.494261,-73851.606007
10503.943852,-16728.654289,13471.748144,-74158.044206
10503.946427,-18801.230927,-2220.617826,-77069.207099
10503.949002,-26943.496289,2072.576638,-77069.207099
10503.951577,-13915.871710,16432.571912,-76762.768900
10503.954152,3997.112087,-10955.047942,-76609.549800
10503.956727,1776.494261,-18209.066173,-76149.892501
10503.959302,-23094.425390,14063.912898,-74770.920605
10503.961877,-14952.160028,22206.178260,-75690.235202
10503.964452,-7994.224174,14211.954086,-76149.892501
10503.967027,-444.123565,-4441.235652,-76609.549800
10503.969602,-10955.047942,-444.123565,-76149.892501
10503.972177,-24426.796086,13471.748144,-74617.701505
10503.974752,4885.359217,5033.400406,-73698.386908
10503.977327,6809.894666,-1036.288319,-75537.016103
10503.979902,444.123565,4441.235652,-76149.892501
10503.982477,-28275.866984,24574.837274,-77682.083497
10503.985053,-20281.642811,7105.977043,-75843.454302
10503.987628,-6365.771101,-1480.411884,-76609.549800
10503.990203,-11547.212695,-9918.759623,-77988.521696
10503.992778,-28127.825796,-10658.965565,-76915.987999
10503.995353,-8142.265362,17024.736666,-74158.044206
10503.997928,-7550.100608,23094.425390,-71553.319513
10504.000503,9474.636058,-444.123565,-73545.167808
10504.003078,-8882.471304,-7698.141797,-77222.426198
10504.005653,-28275.866984,16876.695478,-76609.549800
10504.008228,-15544.324782,2664.741391,-75996.673402
10504.010803,-5625.565159,-6513.812290,-77069.207099
10504.013378,-8586.388927,5625.565159,-76456.330700
10504.015953,-17912.983796,17912.983796,-72932.291410
10504.018528,444.123565,1924.535449,-75843.454302
10504.021103,7698.141797,-7846.182985,-77682.083497
10504.023678,-13471.748144,-5329.482782,-77835.302597
10504.026253,-35085.761651,7254.018232,-75690.235202
10504.028828,-30348.443622,21910.095883,-72779.072310
10504.031405,1480.411884,-1628.453072,-74924.139704
10504.033979,6661.853478,-4293.194464,-77222.426198
10504.036553,-5477.523971,12583.501014,-77682.083497
10504.039127,0.000000,-5625.565159,-76762.768900
10504.041701,24426.796086,-12139.377449,-75843.454302
10504.044276,8882.471304,-13323.706956,-76762.768900
10504.046850,-26795.455100,10066.800811,-75843.454302
10504.049424,-25907.207970,27979.784608,-74924.139704
10504.051998,4737.318029,-11695.253884,-75230.577904
10504.054572,3701.029710,5033.400406,-77222.426198
10504.057146,-3849.070898,-1184.329507,-77988.521696
10504.059720,1480.411884,-1036.288319,-75537.016103
10504.062294,10510.924376,-10807.006753,-75383.797003
10504.064868,-1184.329507,148.041188,-77375.645298
10504.067443,-15100.201217,9178.553681,-77528.864398
10504.070017,-8438.347739,-5773.606348,-75843.454302
10504.072591,4145.153275,888.247130,-73085.510509
10504.075165,0.000000,21169.889941,-73085.510509
10504.077739,17320.819043,1924.535449,-74770.920605
10504.080313,13471.748144,-14952.160028,-77528.864398
10504.082887,-6661.853478,-32124.937883,-78141.740796
10504.085461,-15840.407159,8734.430116,-76149.892501
10504.088035,-7994.224174,16728.654289,-74158.044206
10504.090610,13175.665768,7254.018232,-75077.358804
10504.093184,16580.613101,-17320.819043,-79061.055394
10504.095758,444.123565,-6069.688724,-79520.712692
10504.098332,-18061.024985,13915.871710,-75843.454302
10504.100906,-9326.594869,2812.782580,-74617.701505
10504.103480,-5477.523971,-17764.942608,-78754.617194
10504.106054,-14656.077652,1480.411884,-77835.302597
10504.108628,-11399.171507,7846.182985,-76149.892501
10504.111202,3701.029710,-10214.842000,-75230.577904
10504.113777,2220.617826,14211.954086,-74770.920605
10504.116351,12139.377449,13175.665768,-76149.892501
10504.118925,1184.329507,-13619.789333,-77222.426198
10504.121499,-9918.759623,-17616.901420,-76149.892501
10504.124073,5625.565159,10955.047942,-76762.768900
10504.126647,-14359.995275,296.082377,-75843.454302
10504.129221,-17172.777854,16580.613101,-74311.263306
10504.131795,-18949.272115,-7105.977043,-76609.549800
10504.134369,-27239.578666,3849.070898,-74924.139704
10504.136942,-15248.242405,19541.436869,-76149.892501
10504.139515,5773.606348,-12287.418637,-76762.768900
10504.142089,-296.082377,-19541.436869,-76303.111601
10504.144662,-28868.031738,14508.036463,-76149.892501
10504.147235,-14359.995275,16876.695478,-74158.044206
10504.149809,7402.059420,-3849.070898,-75383.797003
10504.152382,-3108.864956,4885.359217,-76915.987999
10504.154955,-12731.542202,3701.029710,-76149.892501
10504.157529,-18653.189738,4145.153275,-75996.673402
10504.160102,-5921.647536,9030.512492,-73851.606007
10504.162675,3108.864956,-296.082377,-77222.426198
10504.165249,-2220.617826,-18209.066173,-79061.055394
10504.167822,-9326.594869,-16432.571912,-73545.167808
10504.170395,-12435.459826,5625.565159,-73391.948708
10504.172969,-5921.647536,21910.095883,-75077.358804
10504.175542,-15100.201217,17468.860231,-79520.712692
10504.178115,-19837.519246,-3849.070898,-82278.656485
10504.180689,-13767.830521,-11399.171507,-77988.521696
10504.183262,-19689.478057,16580.613101,-73085.510509
10504.185836,-10658.965565,17912.983796,-72932.291410
10504.188409,-12435.459826,5181.441594,-75537.016103
10504.190982,3256.906145,-4293.194464,-78754.617194
10504.193556,-2072.576638,148.041188,-76303.111601
10504.196129,-16284.530724,4441.235652,-75230.577904
10504.198702,-25463.084405,2960.823768,-74924.139704
10504.201276,-11399.171507,11547.212695,-73698.386908
10504.203849,2960.823768,7550.100608,-76303.111601
10504.206422,6513.812290,-20725.766376,-79061.055394
10504.208996,-25167.002028,7698.141797,-75537.016103
10504.211569,-20725.766376,18357.107362,-75383.797003
10504.214142,3404.947333,0.000000,-74770.920605
10504.216716,-1924.535449,-15840.407159,-76609.549800
10504.219289,-4589.276840,1480.411884,-78141.740796
10504.221862,-7254.018232,-2960.823768,-77528.864398
10504.224436,14359.995275,8142.265362,-75537.016103
10504.227009,26647.413912,-9474.636058,-76762.768900
10504.229582,-3849.070898,-8438.347739,-76303.111601
10504.232156,-28719.990550,26351.331535,-75230.577904
10504.234729,-7550.100608,444.123565,-75690.235202
10504.237301,-4885.359217,-4293.194464,-77528.864398
10504.239873,-6661.853478,-3997.112087,-79367.493593
10504.242445,-6069.688724,-10658.965565,-76456.330700
10504.245017,-3552.988522,-9770.718434,-75383.797003
10504.247589,-8290.306550,6365.771101,-76456.330700
10504.250160,-4737.318029,15396.283594,-76303.111601
10504.252732,-5625.565159,592.164754,-76609.549800
10504.255304,-888.247130,-15840.407159,-74617.701505
10504.257876,-10066.800811,-27239.578666,-76762.768900
10504.260448,-12139.377449,-3701.029710,-80133.589091
10504.263020,-9918.759623,-5181.441594,-78141.740796
10504.265592,-20429.683999,740.205942,-77528.864398
10504.268164,-4737.318029,6217.729913,-73391.948708
10504.270736,3849.070898,-13027.624579,-73545.167808
10504.273308,2960.823768,-888.247130,-75843.454302
10504.275879,592.164754,-2664.741391,-76609.549800
10504.278451,2516.700203,-2812.782580,-77375.645298
10504.281023,-4293.194464,8882.471304,-75996.673402
10504.283595,12879.583391,5477.523971,-76915.987999
10504.286167,6365.771101,-3404.947333,-77222.426198
10504.288739,-10362.883188,-4589.276840,-76149.892501
10504.291311,-15248.242405,7698.141797,-75537.016103
10504.293883,-24722.878463,-17024.736666,-77375.645298
10504.296455,-22206.178260,7402.059420,-77222.426198
10504.299027,6513.812290,2072.576638,-76762.768900
10504.301599,23390.507767,-18653.189738,-76456.330700
10504.304170,17468.860231,16432.571912,-75383.797003
10504.306742,-12435.459826,740.205942,-75690.235202
10504.309314,-25759.166782,14508.036463,-75690.235202
10504.311886,-13619.789333,-3701.029710,-77222.426198
10504.314458,-18801.230927,-13175.665768,-77375.645298
10504.317030,-34049.473332,7402.059420,-76915.987999
10504.319602,-18801.230927,13027.624579,-75690.235202
